p_value,mean_gap,std_gap
0.0,0.44451279066840066,0.0006172906017722373
0.1,0.45187568264613254,0.0006057098302255566
0.2,0.4593649823300718,0.0005680126544418547
0.3,0.46672050325416437,0.0004925446632957891
0.4,0.47421054900065757,0.0005118755206177234
0.5,0.4814378871120178,0.0005491502905559036
0.6,0.4887741208172077,0.0004771720244635351
0.7,0.4959343689368708,0.0004499302863771443
0.8,0.5029104277543969,0.00040314006797435435
0.9,0.5097832597777847,0.00033718842965032214
1.0,0.5164711988335153,0.0002486812268576396
