p_value,mean_gap,std_gap
0.0,0.25761350098363983,0.0006800857403020212
0.1,0.26558215093513887,0.0006852016080664716
0.2,0.2736149480286632,0.0007022337025842145
0.3,0.28169809445966276,0.0006570250063741464
0.4,0.28981934227666184,0.0007113499125084642
0.5,0.2977953684260852,0.0006047212403603099
0.6,0.3060001897810876,0.0006188135197787781
0.7,0.3141158208379831,0.0005594383183275481
0.8,0.3219667219470913,0.0005178458181755433
0.9,0.32984463856039686,0.0004498669595728151
1.0,0.33756639928468374,0.0003659555391249696
