p_value,mean_max_degree,std_max_degree,absolute_max
0.0,16.53,1.0866964115653879,21.0
0.1,16.3,0.9587449708822046,19.0
0.3,16.49,0.9691712590109807,19.0
0.5,16.35,0.94681816969503,19.0
0.7,16.44,1.0082488068753945,19.0
0.9,15.7,1.0777829844714388,19.0
1.0,12.0,0.0,12.0
