p_value,n=512,n=1024,n=2048,n=4096,n=8192,n=16384,n=32768
0.0,10.0,11.0,13.0,13.0,15.0,17.0,18.0
0.1,16.0,20.0,29.0,20.0,35.0,29.0,31.0
0.2,52.0,30.0,15.0,75.0,58.0,47.0,-1.0
0.3,25.0,30.0,69.0,83.0,94.0,-1.0,25.0
0.4,54.0,70.0,27.0,19.0,54.0,24.0,-1.0
0.5,-1.0,-1.0,-1.0,18.0,37.0,47.0,-1.0
0.6,23.0,16.0,34.0,67.0,41.0,59.0,-1.0
0.7,68.0,36.0,82.0,58.0,60.0,16.0,-1.0
0.8,-1.0,-1.0,-1.0,-1.0,35.0,-1.0,-1.0
0.9,74.0,-1.0,-1.0,96.0,-1.0,30.0,55.0
1.0,20.0,-1.0,-1.0,-1.0,-1.0,39.0,-1.0
