p_value,n=512,n=1024,n=2048,n=4096,n=8192,n=16384,n=32768
0.0,6.552184800106553e-6,2.325247163600941e-6,6.924746823266381e-6,1.3984456795416156e-5,1.2527215798274206e-5,8.262752403432882e-6,4.379365604836871e-6
0.1,0.011295596064795235,0.008920222904882475,0.010852218497220652,0.009937407258433825,0.009029343694575698,0.01146718334320425,0.011757414148865915
0.2,0.006721346119583475,0.006373129515307093,0.0073208562531546515,0.006842769551565926,0.006845512573972894,0.009286185303872718,0.008079894483182307
0.3,0.005909879590393153,0.00526243458465796,0.0046746669134222684,0.004335770662263555,0.006376850881086413,0.007797467680301218,0.007864702017454974
0.4,0.005860010719437365,0.005478941474756389,0.004772782302466568,0.004013919444855329,0.006236496757243647,0.005508261072859849,0.008436067151553695
0.5,0.006574057900927034,0.004459249515991709,0.004430082163832962,0.004823107502863396,0.00594720808000104,0.005505388346236654,0.009517729062491511
0.6,0.006115928290744208,0.004607439684088258,0.004286658381809653,0.0033942149165420103,0.0052955652864967,0.006216045915954064,0.007233597907684961
0.7,0.00682231728178294,0.0038467988073951154,0.0033991905198904517,0.0035150847811074525,0.005034119864980674,0.006034136045033655,0.007141378705282735
0.8,0.005390911128793887,0.004472363155144619,0.0031283572540203564,0.00271725536069201,0.004447638896845473,0.005494588686768186,0.00782886327154929
0.9,0.0048037521378459565,0.003375557245137484,0.002628881140897018,0.0021747749373321893,0.0035129951775355306,0.0060235026868184285,0.005963088600247512
1.0,0.004427489663346425,0.0029028003072108285,0.0021980773104690464,0.001384757804083444,0.001275391725453346,0.004075448266898745,0.002877667635380475
