p_value,n=512,n=1024,n=2048,n=4096,n=8192,n=16384,n=32768
0.0,0.17179661255499348,0.1668877889904207,0.16294992432722552,0.16176949140297917,0.1582495720466457,0.15360547035081534,0.15035297794297917
0.1,0.14588299183284717,0.14044684864534335,0.1353526564203345,0.12707524655121008,0.11567902354136037,0.0976748963876841,0.07025319093558138
0.2,0.14756260977256455,0.13953056284155607,0.12880868753074487,0.11273991350533295,0.08574948103405891,0.054473169348808116,0.021164684495174474
0.3,0.14934234415763784,0.13785388457819056,0.11948119134513517,0.09191478001110134,0.057475207929238555,0.0223324778511365,0.0040517966743755405
0.4,0.1484695861233297,0.12896125173488274,0.10345596213761472,0.06944564959954179,0.030181473627630094,0.006421595643962533,0.00021435786363262598
0.5,0.1435277018547498,0.11740263186407476,0.0824338414102726,0.04033158743667958,0.010527364512683707,0.0007545138985274218,0.0
0.6,0.13144924082198173,0.09758870393904572,0.05507539299297542,0.017920205382117426,0.002336136712092617,3.918249681795525e-5,0.0
0.7,0.11239653144908633,0.07228643455204375,0.030575359197078593,0.005267484589879558,0.00021523824814152686,0.0,0.0
0.8,0.09064067423413552,0.046811959621850224,0.013619002179648261,0.0010765010280647349,0.0,0.0,0.0
0.9,0.0677886896658608,0.028614817008822683,0.00443284062025007,0.00010889985407135139,1.060026693775166e-5,0.0,0.0
1.0,0.05059376880498146,0.014062654005486643,0.0013511390581431807,2.7280739132559363e-5,0.0,0.0,0.0
