p_value,n=512,n=1024,n=2048,n=4096,n=8192,n=16384,n=32768
0.0,0.3035184830491874,0.3007536168515193,0.2979908511362648,0.2964693879763861,0.2957318433275995,0.29495016279334424,0.2943568430599533
0.1,0.16939538206066712,0.16576466370980106,0.16344754292290073,0.16094501025925048,0.1583505120158557,0.15490746766457683,0.15106510336449772
0.2,0.174370155062124,0.17085331038546708,0.16808333017774058,0.16574185244228837,0.1634435329628679,0.16034187912681308,0.15605390423063248
0.3,0.18367120142775906,0.17971699564177424,0.17632104264041998,0.1746867905255819,0.1719118615322798,0.1691906397010416,0.16470640913281534
0.4,0.19434156603683458,0.18951671015736593,0.18718307484028882,0.18496485847913482,0.1826154985184342,0.1794078073601312,0.17471958563940398
0.5,0.20778906599452784,0.2030637926510179,0.2006318002766405,0.19818563947930287,0.19552911961528507,0.19245457061243484,0.1875549048490959
0.6,0.22247315101421786,0.2184806995443002,0.2152307896722025,0.2134912617652372,0.21073289837697246,0.2072926741607595,0.20210075236387395
0.7,0.2402735206077161,0.2358767119153212,0.23321420623033934,0.2304028752149582,0.22846310647343931,0.22477254902368693,0.21889962819008116
0.8,0.2604130211504958,0.25564665729510766,0.2530649556617153,0.25015868788795287,0.24805801987898357,0.24299755558699307,0.23459126931233257
0.9,0.2814300334790206,0.2780376724069928,0.2750912089679638,0.27227360065631545,0.2673987720403661,0.2608358167409706,0.24920056510413965
1.0,0.30318577541004005,0.29926594012901964,0.2961318941430973,0.2910496590074542,0.284511428435248,0.2724032446578595,0.2520731753771405
