Run,Round_1,Round_2,Round_3,Round_4,Round_5,Round_6,Round_7,Round_8,Round_9,Round_10,Round_11,Round_12,Round_13,Round_14,Round_15,Round_16,Round_17,Round_18,Round_19,Round_20,Round_21,Round_22,Round_23,Round_24,Round_25,Round_26,Round_27,Round_28,Round_29,Round_30
1.0,0.0,0.0,0.0,0.13387306608812458,0.13348843594816223,0.1418800865925998,0.07960676528996519,0.0,0.11659087096686822,0.13030850291164978,0.0,0.10817270577340701,0.0,0.0,0.0,0.1366856333947103,0.0,0.0,0.0,0.0,0.12481514585943519,0.12888069768439364,0.1254029918258885,0.0,0.0,0.0,0.11873484357801957,0.0,0.11630976200634095,0.1362555561487019
2.0,0.0,0.0,0.0,0.0,0.0,0.13288468694455136,0.0,0.12941764845727285,0.0,0.0,0.0,0.0,0.0,0.11972284435555365,0.1268776062214452,0.1236619100686897,0.0,0.0,0.0,0.13336275458751246,0.1250194013850268,0.10509666374039776,0.0,0.07580826075976184,0.0,0.0,0.10649582872191521,0.0,0.13078869284728872,0.13348230107880435
3.0,0.0,0.0,0.0,0.13304368289810647,0.12592466170215447,0.0,0.0,0.0,0.12233826351038303,0.1303191486508446,0.0,0.0,0.12264132719882453,0.10263240015533279,0.10167503903794006,0.11359275500799951,0.13532147156172003,0.130552747104692,0.0,0.06164784115564094,0.0,0.0,0.0,0.0,0.13500697943897905,0.058697989571553,0.0,0.0,0.0,0.1257805671071766
4.0,0.0,0.0,0.0,0.11458000851613695,0.0,0.0,0.0,0.12943991161497367,0.12398734839227184,0.12518273725404477,0.0,0.0,0.0,0.12294971878634235,0.11965269232696987,0.0,0.0,0.11205301303565339,0.13840197697875328,0.08204775047701485,0.13407318068574098,0.13352394308771037,0.1297654156977684,0.11702713267520223,0.0,0.0,0.0,0.12139979560950938,0.0,0.07154876870730517
5.0,0.0,0.0,0.1331651752853037,0.1347371050948215,0.0,0.1236447281987465,0.08744816041137736,0.12897010755336374,0.11297774760271546,0.10409357451844124,0.09231172522414662,0.1278421429452493,0.0,0.12601964757485473,0.10654837028357843,0.0,0.13343552468219036,0.0,0.0,0.1234784762329222,0.13204125831439664,0.11217128733907945,0.0,0.09973720313324515,0.0,0.12596065954941713,0.0,0.10036693284739498,0.10705350520699658,0.12155309620919824
6.0,0.0,0.0,0.0,0.0,0.0,0.12088365377013136,0.0,0.13146120143639395,0.1313388047656944,0.0,0.12941574933729116,0.0,0.0,0.0,0.0,0.13049097909855273,0.1273059445952929,0.139128270104984,0.12010560827260428,0.10047354060945766,0.12858877303369262,0.1084886836319795,0.10621871271413484,0.0,0.0,0.12285707020582458,0.08283236557570121,0.0,0.10896639269431327,0.13996326914217835
7.0,0.0,0.0,0.12473755461975987,0.12446822541474675,0.07468887731289359,0.0767575126808293,0.11981823783861063,0.13657278969229342,0.09791532664771523,0.13780616068519042,0.0,0.0,0.0,0.12937643164431106,0.0,0.12509882849110376,0.09928668107260065,0.11551954752432579,0.1251418254399963,0.0,0.13655275668981307,0.12025357379475038,0.12886391806218256,0.10605166363359149,0.0,0.0,0.0,0.0,0.11641172332566664,0.10742530779504349
8.0,0.0,0.0,0.0,0.0,0.11412370379537634,0.12827260041353614,0.0,0.1294630969049855,0.13288299024911443,0.0,0.0,0.13208946886540263,0.0,0.12226706825475693,0.12374402723237324,0.13722932687845313,0.13088072363386644,0.13474187362954065,0.1306885248491633,0.0,0.114515765911541,0.0,0.0,0.0,0.11869770003460053,0.0,0.1017872652721508,0.13156147207679028,0.12341226080184804,0.1072589254803342
9.0,0.0,0.0,0.0,0.09363499530501566,0.13190525392673624,0.09364517023462926,0.09004695868204213,0.12660011343927136,0.0,0.0,0.127194234820444,0.11460478206106606,0.11313356605040888,0.0,0.0,0.11733191727619753,0.11544508248065936,0.0974953950071279,0.1384424191692402,0.10491742879275569,0.0,0.13188039575357235,0.11261241092175123,0.13322152913687155,0.0,0.0,0.0,0.12612815907416586,0.11115441105792868,0.09627198846171683
10.0,0.0,0.0,0.13668969173483073,0.0,0.0,0.0,0.0,0.10599227853843186,0.0,0.10615603302238932,0.12772542957965322,0.0,0.0,0.0,0.13278819370710582,0.13040824043628887,0.0,0.12323424456950557,0.0,0.13184719614582316,0.0,0.0,0.12043105254997173,0.12525401556724602,0.12246749368299452,0.13293121980501965,0.1346636698262637,0.08854060560906149,0.0,0.0
11.0,0.0,0.0,0.0,0.13520758752050432,0.0,0.0,0.12656086372928352,0.129967399059163,0.13471111176331604,0.12467910451353414,0.0,0.13996886835439862,0.09234530443795512,0.10558477444648086,0.0,0.11390627726719389,0.10118542443777863,0.12350929144411975,0.124011492480497,0.09399701955900823,0.0,0.13309277085675852,0.1287870243314162,0.0,0.13739528652467523,0.0,0.0,0.0,0.0,0.1109546408441568
12.0,0.0,0.0,0.1381661670459531,0.0,0.13910645337971964,0.0,0.09595883441884766,0.0,0.13145737288358358,0.0,0.12898212830297795,0.1075720657813382,0.11849840976133647,0.0,0.0,0.0,0.11898809462492314,0.1332482814563151,0.0,0.09816481454349774,0.0,0.12112520967166211,0.0,0.0,0.0,0.12617939156304733,0.0,0.0,0.11621145492800454,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.13404417834265647,0.10189590171334104,0.1320043829100878,0.13247400284952196,0.1288753131681952,0.0,0.0,0.11574727723694303,0.1261886718247226,0.0,0.0,0.0,0.09529810941103975,0.0,0.11602767079331373,0.0,0.0,0.0,0.11292064516894504,0.13382259844550426,0.13377002412972197,0.1266821979647852,0.0,0.12741260669336066,0.11911056889781683
14.0,0.0,0.0,0.0,0.13712207571434026,0.0,0.0,0.08043193213200961,0.12468765306736038,0.0,0.12201211082492462,0.12530903580221614,0.12631677290411847,0.0,0.11822828769666018,0.08002740634389452,0.12026455148256662,0.12233892966442585,0.10674616688559876,0.10038865661002105,0.11987047777888639,0.13151458802143284,0.08422470960301165,0.12325972946072682,0.0,0.11925305072219974,0.0,0.08571054981553251,0.0,0.13200499483155428,0.0
15.0,0.0,0.09740660296414631,0.0,0.13031718878866114,0.10723049109634607,0.13162363658732731,0.0,0.13194825522944065,0.08175482519956338,0.08236618654688556,0.0,0.0,0.0,0.11818054502183876,0.1308654762535587,0.0,0.12490075139019964,0.12016794994187546,0.1274724008717154,0.0,0.0,0.0,0.0,0.0,0.11761992371738636,0.11707913344821726,0.0,0.13357884372171341,0.13848678106020612,0.11624532683767272
16.0,0.0,0.0,0.0,0.14025972881202017,0.0,0.13663437133643677,0.0,0.11590081933021627,0.0,0.10871410494435073,0.0,0.0,0.13201871285311687,0.0,0.12290207745324688,0.13327683836663212,0.11737257324451969,0.0,0.09037026056189641,0.12710015719783266,0.12997452780198157,0.0,0.0967554310082223,0.0,0.11640294209886988,0.1303858362553669,0.0,0.13004034763373054,0.13866757717712788,0.11409581099466966
17.0,0.0,0.0,0.0,0.12192800166747873,0.0,0.0,0.1273179130082764,0.09222676943765716,0.0,0.10169120568114956,0.0,0.0,0.13176375468994433,0.0,0.1079465186821694,0.11072190719898051,0.12769650969588145,0.0,0.0,0.10865318273729985,0.12893475865685702,0.08004117276827909,0.0,0.1226822343440864,0.12826401785875097,0.0,0.10184746900723043,0.0,0.0,0.10162523706257033
18.0,0.0,0.0,0.12805492047219533,0.0,0.14075245698760383,0.0,0.0,0.0,0.0,0.0,0.12472957620540964,0.11808695249110791,0.1142955851241721,0.13531240213617374,0.11695436554346586,0.11153152145974637,0.13102348112325404,0.0,0.1159588201524527,0.13320543892585682,0.0,0.0,0.12485451000847711,0.0,0.13244087353192432,0.0,0.1223024597299311,0.1329404844987541,0.0,0.0
19.0,0.0,0.0,0.14138600412531918,0.14043929234695357,0.13043487108308577,0.0,0.0,0.0,0.1255864940021922,0.11484338901269543,0.13297539594244032,0.10929507977119259,0.10105769768778014,0.1369535402084607,0.0,0.0,0.12677900644752563,0.0,0.12498824173791391,0.133346630186536,0.0,0.0,0.13407923122286494,0.0,0.0,0.0,0.12041950465477269,0.09427610922689401,0.12171109299745031,0.0
20.0,0.0,0.0,0.0,0.1308096598591382,0.12402095544139688,0.0,0.0,0.12250940150074016,0.1266165970854966,0.11426765356982825,0.13889520771136538,0.11871585599748505,0.0,0.0,0.11586685687310923,0.13384536670285568,0.1018995406658439,0.1016304025533619,0.0,0.12172192324757422,0.0901290509851113,0.0,0.11459738416057375,0.13000173420858874,0.0,0.12528615304665822,0.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.13272462589480297,0.0,0.13457303782867458,0.0,0.12865795052691872,0.0,0.12442440608737368,0.0,0.09936524191972325,0.12017928210254981,0.0,0.0,0.0,0.09271711197720457,0.0,0.13714812245818697,0.12103325130696875,0.11153313871786853,0.10987528212241333,0.12616252846863946,0.13388125127072775,0.0,0.12909098808328906,0.0,0.0,0.0,0.13558846548390596
22.0,0.0,0.0,0.0,0.12998043291566808,0.10254109422805462,0.13666269546195506,0.10977716333419502,0.13390403398679568,0.0,0.13634453100644803,0.1382262599761193,0.0,0.10758316165466343,0.12111945444100136,0.0,0.13591672229359916,0.0,0.13465250024911105,0.09956389202736284,0.09880732961998918,0.0,0.0,0.11999925815092238,0.12814378351328481,0.0,0.12218474556275252,0.0,0.0,0.0,0.12704948745456915
23.0,0.0,0.0,0.0,0.0,0.0,0.10544167880467732,0.0,0.13181345764780888,0.0,0.11817514565756013,0.11580380396803232,0.1372244320373974,0.13041511378546433,0.0,0.0,0.11227049219082373,0.09917627448589164,0.1183050542024925,0.11205610897994692,0.11111273333259618,0.0,0.0,0.0,0.0995737408693994,0.0,0.12044782375774689,0.12946050098808107,0.0996336931825629,0.0,0.12885568218634938
24.0,0.0,0.0,0.0,0.122739728712741,0.09654086328208461,0.0,0.11278190636712447,0.0,0.12224106747119544,0.0,0.13017253779267512,0.12993349518571592,0.13515491990393202,0.0,0.10796688154421726,0.10339879309612991,0.13339419439343256,0.0,0.1369708126805176,0.0,0.13699634765290913,0.12572977850119982,0.09383294847124998,0.12484863837779571,0.0946240943061309,0.09479120908618067,0.12596126421745393,0.11030359418937795,0.11976157312696656,0.0
25.0,0.0,0.09732320563108222,0.14370912377931172,0.12261330754316858,0.1421944431279896,0.1245621655583307,0.0,0.12599492217365857,0.0,0.1348501069270071,0.12162544019993825,0.0,0.1330561751311468,0.12692305628733924,0.0,0.09425080554080113,0.0,0.131394447543686,0.13520761706603746,0.13245349798048336,0.13339481093303218,0.12634923612632304,0.0,0.10862577390061295,0.1186484217172655,0.11119394856197173,0.11930480588575708,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09422822333616625,0.13260164883076778,0.13653327510966393,0.1336198159693907,0.13836616126636714,0.12737301236100412,0.0,0.0,0.12710549858194595,0.0,0.12792780644929377,0.13074826152751826,0.13349064378915507,0.0,0.12448207237003776,0.0,0.11611016760051335,0.1320167431062519,0.10840799552197855,0.09925086238824839,0.13492674269519522,0.06773135815030587,0.0
27.0,0.0,0.0,0.0,0.0,0.11267134248941883,0.0,0.0,0.13163107542753255,0.0,0.13817916867785746,0.0,0.1233035371298655,0.12042410247242329,0.10793787377809302,0.12345982022275928,0.0,0.1316506186874643,0.0,0.11617864150247469,0.0,0.10365430379094849,0.12509525393135432,0.0,0.1316824328295823,0.0,0.0,0.12376907845504781,0.0,0.13371538055769439,0.0
28.0,0.0,0.0,0.0,0.13604260003949267,0.12762612744237445,0.0,0.0,0.0,0.0,0.09285638421709487,0.0,0.12708007035445146,0.11241992714970164,0.0,0.12429214267564663,0.12664786414020673,0.09649960694728935,0.12966265783601547,0.12648186302369555,0.0,0.0,0.14397118687495275,0.1375868674642632,0.0,0.0,0.13113141147184282,0.0,0.0,0.0,0.0
29.0,0.0,0.0,0.0997285920294505,0.0,0.08562159688398549,0.0,0.13186488371090574,0.0,0.1137918769990675,0.11340006165718042,0.12639912849129584,0.0,0.0,0.0,0.11212465453311259,0.0,0.0,0.10185674636762962,0.11848616476855311,0.13161889500611587,0.12847327800565816,0.09367525700884781,0.0,0.1133002123816256,0.09923284765519276,0.13554162792069216,0.0,0.12829656754913174,0.12104002078246413,0.12089710187730127
30.0,0.0,0.12773844884480218,0.0,0.0,0.12406005152470338,0.0,0.11727343115713898,0.12653423941465505,0.13527633938663627,0.11966216788844439,0.0,0.10186886495244049,0.13396982164093135,0.11874266535955472,0.1315003571223094,0.1309790709144927,0.1285655858658431,0.0,0.1069945893381341,0.13468070063874593,0.0,0.1276146746841428,0.1279755059920025,0.0,0.10232764631745747,0.0,0.13188866944621455,0.0,0.0,0.13435977066489566
31.0,0.0,0.0,0.0,0.0,0.0,0.1138751705618939,0.10134309762496302,0.0,0.0,0.0,0.0,0.0,0.0,0.13324682610055477,0.0,0.1019549103374208,0.0,0.0,0.13145636691520438,0.13281930841284723,0.0,0.0,0.0,0.12434503390680789,0.0,0.12232193371138649,0.13254978557528627,0.0,0.13719239611432793,0.0
32.0,0.0,0.0,0.0,0.12932995087069296,0.0,0.0,0.0,0.0,0.12960665665695853,0.13789023723195842,0.12080799538760936,0.0,0.0,0.07704706630419336,0.0,0.0,0.12657560953131655,0.13263617573544398,0.1361394617459496,0.13440667256472524,0.11951774981127118,0.13009689625209295,0.0,0.0,0.09912364509455411,0.1050716417066408,0.0,0.12811086741127872,0.11435366488304179,0.09767038063391048
33.0,0.0,0.0,0.0,0.13696386987507383,0.0,0.1127330277680362,0.0,0.10752949113214165,0.1290983242336166,0.12177419677188489,0.11536178821999285,0.0,0.0,0.0,0.1237740648162163,0.11436010395481021,0.13286660181686427,0.12238739530953073,0.13482111057578203,0.13523332990631529,0.09410508024563427,0.12989716970273923,0.1135563725337865,0.11465063016635192,0.1098420337238351,0.0,0.12414539840505813,0.0,0.0,0.10126821162774355
34.0,0.0,0.0,0.1284485854587978,0.1285061693317865,0.1197595372823784,0.0,0.09422539981677604,0.12653804112252678,0.0,0.12356422823160365,0.0,0.12343659464927403,0.12161032670030676,0.13210119638989887,0.0940319948772249,0.0,0.12304601686295008,0.10566620876072927,0.0,0.0,0.0,0.0,0.12267081462360314,0.0,0.11904974450650739,0.0,0.08748443675714195,0.0,0.0,0.0
35.0,0.0,0.0,0.0,0.0,0.0,0.1080267025748597,0.1233505193907319,0.11960447908901957,0.08119010533430551,0.09856645557264078,0.13510787901982738,0.13215963989134483,0.11990869320110395,0.06048175417786033,0.1297990367304635,0.12797773379114877,0.0,0.1342630139230492,0.1293862977585831,0.13306977199255232,0.0,0.10503537858823703,0.0,0.12746523642400182,0.0,0.11107068950673891,0.0,0.0,0.11016844976010201,0.08877715050843617
