p_value,n=512,n=1024,n=2048,n=4096,n=8192,n=16384,n=32768
0.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0
0.1,7.0,8.0,8.0,11.0,9.0,10.0,12.0
0.2,8.0,8.0,9.0,10.0,11.0,11.0,12.0
0.3,8.0,9.0,9.0,10.0,12.0,11.0,13.0
0.4,9.0,9.0,10.0,12.0,13.0,13.0,14.0
0.5,10.0,10.0,11.0,12.0,14.0,11.0,15.0
0.6,11.0,11.0,13.0,14.0,16.0,15.0,17.0
0.7,14.0,13.0,14.0,15.0,18.0,17.0,20.0
0.8,16.0,17.0,20.0,23.0,22.0,22.0,25.0
0.9,25.0,24.0,28.0,32.0,35.0,43.0,40.0
