Run,Round_1,Round_2,Round_3,Round_4,Round_5,Round_6,Round_7,Round_8,Round_9,Round_10,Round_11,Round_12,Round_13,Round_14,Round_15,Round_16,Round_17,Round_18,Round_19,Round_20,Round_21,Round_22,Round_23,Round_24,Round_25,Round_26,Round_27,Round_28,Round_29,Round_30
1.0,0.2971319557364054,0.26276622903371677,0.22148305007475455,0.21014294055178198,0.18265485387461117,0.18126352798199064,0.176068948668767,0.15634347473980245,0.1460504733786328,0.159148997440096,0.14520881583269757,0.1602284842760652,0.1551926558410525,0.15788752179132165,0.15459620233537746,0.1500126551368973,0.15559728727352307,0.15271085278307578,0.14169718501998976,0.14542559233342375,0.1473622545903544,0.14953863655203503,0.14526033157255422,0.1544521731527654,0.15613625874901596,0.1456311382105552,0.12851010300202026,0.13690820011997432,0.131977862904503,0.14822771717583838
2.0,0.2950641761115273,0.26428835259988703,0.2370879306837834,0.21321585568881718,0.19308419043799874,0.18723692620041324,0.17485351136091,0.16198398944123316,0.1614394964525986,0.15059416240243692,0.14861580746356187,0.15629215451578937,0.14277596697459638,0.15048960397933442,0.14676234780611064,0.12715518450876617,0.14896124494496849,0.14851663384373248,0.14886691265124607,0.14318635842201605,0.13561498188654003,0.13595435884102172,0.14566762702725314,0.14103185001090854,0.14769147111279124,0.14925445453188305,0.14898456949463054,0.14957565187033778,0.14557212472069303,0.14689359884029343
3.0,0.29429955646599276,0.23902571569270642,0.22762189079312953,0.21745631139408206,0.20029354841354793,0.18308925112152483,0.17601672814656272,0.16988561349243977,0.16302928714715462,0.15899694994097938,0.1609977009239137,0.140824588665562,0.15278582624274492,0.1521809078525122,0.1514292116597023,0.15771508945857954,0.15232113516268506,0.14801373730492798,0.14517539805029442,0.145691789393643,0.1500204927848819,0.12607282512494472,0.13160906024294872,0.14445538271237507,0.132719988000511,0.1505285543307865,0.15358496005720843,0.15355513402304818,0.15275897010342707,0.15067512411896408
4.0,0.2952719200942746,0.26536021352880085,0.2361175330240139,0.21369512341254424,0.18774965595824214,0.16885106197164068,0.17055428233190711,0.1625845651810971,0.16382318074449045,0.16499298994125827,0.1556848186812995,0.1599943270390903,0.1485290041511983,0.1492483483994172,0.14868416874245877,0.15325337398740002,0.14736109417331933,0.15434309967704873,0.14806157798281575,0.13233121391802902,0.15064515516823912,0.15614107589361265,0.14889633944706518,0.15246943631462692,0.14859743399602673,0.14138901279467925,0.1485822316630985,0.15352037389549533,0.15163635512291457,0.14898217084863938
5.0,0.21563581479903482,0.2512165424927406,0.21980162431412592,0.2129949020636467,0.19609622219227904,0.18734290209132384,0.16569015914179433,0.15777375283040096,0.150205934050889,0.1455006496890197,0.13099896820598647,0.1568380872914462,0.1440837622148599,0.1412523183081961,0.15228112464228719,0.15466839096697257,0.14253778785608245,0.141550744411289,0.14587739846945671,0.14820468088468658,0.13323918099890963,0.13697926666141824,0.1518224042169188,0.14998197473986233,0.14778553159703767,0.14867327791087245,0.13912860598429447,0.14407010852742141,0.1534492044508642,0.15312503057704696
6.0,0.2967630803182834,0.26643931881620314,0.2409046854807465,0.2089304190997329,0.1902799457931115,0.18915125871476504,0.17726362196383344,0.163234454955593,0.13985285471241243,0.15100177598673176,0.12718987922890446,0.15055245695796524,0.14738198490174487,0.15607127206717325,0.15248180467284259,0.15684946811786,0.1542101881528598,0.15344418136251695,0.15602631599202593,0.14957912810079718,0.13923522943789668,0.1542637527153831,0.15391871695352838,0.1555921242379743,0.14994907461097248,0.153177557631088,0.13851763323004843,0.14206526724331087,0.1532142670984871,0.15307317157118597
7.0,0.2962285358918196,0.24808330785523905,0.22313903013264327,0.19684759826859277,0.19730787746265913,0.18628061878565302,0.1730975457017006,0.1601492624599748,0.14897536352316357,0.1471836355307745,0.14447500964743762,0.14762019674399457,0.15589988887472633,0.1542305059350264,0.1516809782013278,0.15386454179212136,0.15504255672337441,0.148246573514948,0.147401166637777,0.14019565113515545,0.1379775380866895,0.15520570502767275,0.15238852329453434,0.15578745106754296,0.13884622398787722,0.1464648810651107,0.14673086166673005,0.09496230083826031,0.1328834576246042,0.13918915174684574
8.0,0.293685508489504,0.24804371238059275,0.23731547631418415,0.21726537403423196,0.19965945391144022,0.1758368244516545,0.17230296704409362,0.16648712177573968,0.16629042248633824,0.15361115918083573,0.16132657675204665,0.15343512478935853,0.15216346770417868,0.13722633642211404,0.13780087965399176,0.15580436029949565,0.15290881200550227,0.14134158218878512,0.14959030416186855,0.13930160623644788,0.14271698155920914,0.14189538637860818,0.13455558916596697,0.15278886831371036,0.1463683109979244,0.15400370180555087,0.15423921617382005,0.15618993579333115,0.1507532182748626,0.1537888828221982
9.0,0.2938278918591878,0.2660448621266179,0.23539429503321968,0.20829245928219003,0.1875451614103763,0.17921741502812003,0.14043631005876614,0.13932086193036497,0.13444450369123645,0.15123301630534317,0.13525419825735624,0.15802752109412338,0.13294866260325977,0.12080762343622606,0.14546876399386863,0.14563222296142245,0.1523745840869187,0.15303549949401904,0.14962437196510334,0.1513792485411333,0.15561377817548544,0.1441134352502973,0.13929384458886265,0.1535933825040831,0.1548391174578356,0.1446096289638224,0.15473872247681963,0.15019497509333427,0.14929482660610924,0.13684050719998295
10.0,0.2920771090667468,0.24826309759326073,0.23443945268538274,0.2151536375257913,0.17660581942297202,0.16557523248950384,0.165826237278298,0.16939185444869198,0.15431885224944378,0.15431898983214754,0.14624389683272895,0.12476533001389388,0.12620184708522839,0.14841260332918274,0.1320401631156256,0.15612277907022876,0.1550076467325737,0.14765790170266702,0.14723916961983002,0.1500968271381743,0.14237737842051576,0.1493749747427135,0.14884072093029513,0.13816236962391545,0.14369753310620065,0.14899236804135013,0.15222911623283683,0.1524578156913808,0.15431825474498703,0.15723560305836756
