p_value,mean_gap,std_gap
0.0,0.5620407034607169,0.06784151816529295
0.1,0.5621290977329351,0.055242616870384745
0.2,0.5416529562701262,0.06842886806435873
0.3,0.5288357484847018,0.07670026490711672
0.4,0.4982047717348073,0.06927546853238324
0.5,0.4580493472043043,0.07464332417504474
0.6,0.41925236833533724,0.0818824572881784
0.7,0.41168591588096554,0.06754237496251289
0.8,0.39065863935020845,0.056046204187661076
0.9,0.35583412827524363,0.03670040724186363
1.0,0.3375925460199552,0.0003426890791109802
