k_value,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8,round_9,round_10,round_11,round_12,round_13,round_14,round_15,round_16,round_17,round_18,round_19,round_20,round_21,round_22,round_23,round_24,round_25,round_26,round_27,round_28,round_29,round_30,round_31,round_32,round_33,round_34,round_35,round_36,round_37,round_38,round_39,round_40,round_41,round_42,round_43,round_44,round_45,round_46,round_47,round_48,round_49,round_50,round_51,round_52,round_53,round_54,round_55,round_56,round_57,round_58,round_59,round_60,round_61,round_62,round_63,round_64,round_65,round_66,round_67,round_68,round_69,round_70,round_71,round_72,round_73,round_74,round_75,round_76,round_77,round_78,round_79,round_80,round_81,round_82,round_83,round_84,round_85,round_86,round_87,round_88,round_89,round_90,round_91,round_92,round_93,round_94,round_95,round_96,round_97,round_98,round_99,round_100
2.5,0.0,0.0030260902627006854,0.0033713699089794203,0.003397263872860028,0.003465311198676449,0.004398991777323046,0.004402837264416153,0.004404420521462033,0.004404879402330443,0.0044050957896832115,0.004405095789655102,0.004405095789626371,0.004405095789672892,0.004405095789633702,0.004405095789648657,0.004405095789765478,0.004405095789668111,0.004405095789703563,0.004405095789684075,0.00440509578967312,0.00440509578968973,0.004405095789638388,0.004405095789759187,0.004405095789707501,0.004405095789645561,0.004405095789676534,0.004405095789756751,0.0044050957896443095,0.004405095789636668,0.0044050957896776205,0.004405095789663821,0.004405095789766405,0.004405095789678942,0.00440509578980777,0.004405095789775131,0.004405095789847206,0.004405095789719289,0.004405095789668625,0.004405095789687179,0.004405095789632014,0.004405095789684762,0.004405095789681273,0.004405095789654627,0.004405095789698162,0.0044050957896458985,0.0044050957896928054,0.0044050957897278,0.00440509578963755,0.0044050957897013255,0.0044050957896392875,0.0044050957896725,0.004405095789738725,0.0044050957897261685,0.004405095789871887,0.0044050957897444855,0.004405095789787319,0.004405095789753349,0.004405095789738676,0.00440509578980801,0.004405095789708498,0.0044050957897446424,0.004405095789633958,0.004405095789676353,0.004405095789680653,0.004405095789673382,0.004405095789818121,0.004405095789656946,0.0044050957898440855,0.004405095789660812,0.004405095789641509,0.004405095789702681,0.004405095789748585,0.004405095789696009,0.0044050957897026595,0.004405095789753594,0.004405095789691397,0.004405095789651923,0.00440509578968491,0.004405095789810971,0.0044050957896995865,0.004405095789699384,0.00440509578970614,0.004405095789722937,0.004405095789801096,0.004405095789652719,0.0044050957896938445,0.004405095789767168,0.004405095789662178,0.004405095789668694,0.004405095789677231,0.004405095789812333,0.004405095789708359,0.004405095789803356,0.0044050957896282165,0.004405095789686815,0.004405095789660587,0.004405095789643459,0.004405095789815602,0.0044050957896567015,0.004405095789724216
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
