round,avg_gap_k2.0
1.0,0.32812323296237034
2.0,0.48506642188006
3.0,0.542614727089109
4.0,0.5659866997384607
5.0,0.5777923783638932
6.0,0.585095112094569
7.0,0.5896116782734786
8.0,0.589658218755912
9.0,0.5887816532013078
10.0,0.5875773001793901
11.0,0.5860802456581637
12.0,0.583977253795839
13.0,0.5822578910463654
14.0,0.5813172814570375
15.0,0.5797400015507259
16.0,0.5784269589928915
17.0,0.5771885590199005
18.0,0.5758882737111759
19.0,0.5746983505248371
20.0,0.5737693022575884
21.0,0.5727949804932155
22.0,0.5718675486626963
23.0,0.5710537944571625
24.0,0.5702602224598793
25.0,0.5694974489605898
26.0,0.5688059213057977
27.0,0.5681696086977709
28.0,0.5675664922180863
29.0,0.5670105614454742
30.0,0.5664566816242806
31.0,0.5659771874685215
32.0,0.5655208885449646
33.0,0.5650911002661263
34.0,0.5646848504989175
35.0,0.5642797960943551
36.0,0.5639124648156573
37.0,0.563602467357681
38.0,0.5632718981094086
39.0,0.5630244682663355
40.0,0.5627217715214268
41.0,0.5624635789452535
42.0,0.5622139949851568
43.0,0.5619703989111586
44.0,0.5617194187687962
45.0,0.5614920836771763
46.0,0.5612701247978916
47.0,0.5610852106208116
48.0,0.5608612978888626
49.0,0.5606897177650817
50.0,0.5605104171247042
51.0,0.5603590897311276
52.0,0.5602109205158401
53.0,0.5600657260271927
54.0,0.5599200689523712
55.0,0.5597834395745017
56.0,0.5596400189963296
57.0,0.5595130316174889
58.0,0.5593922072581116
59.0,0.5592861829217671
60.0,0.5591813908877765
61.0,0.5590511017581915
62.0,0.5589521277408683
63.0,0.5588449455455432
64.0,0.5587615805177993
65.0,0.5586584517040365
66.0,0.5585526454184387
67.0,0.5584708252052968
68.0,0.5583679459902714
69.0,0.5582999993751135
70.0,0.5582096548728132
71.0,0.5581411681746461
72.0,0.5580630889889558
73.0,0.5579993837480003
74.0,0.5579268449360704
75.0,0.5578578143423614
76.0,0.5577789873405037
77.0,0.557707706606445
78.0,0.5576422308441655
79.0,0.5575826254760183
80.0,0.5575343227851073
81.0,0.5574668476527691
82.0,0.5574135038217793
83.0,0.5573638382114904
84.0,0.557303517282419
85.0,0.5572532967974048
86.0,0.5572011580218433
87.0,0.5571491452780607
88.0,0.5571033643725444
89.0,0.5570611116470505
90.0,0.5570230414275757
91.0,0.5569764822410785
92.0,0.556926327033302
93.0,0.5568879068638409
94.0,0.5568376780620221
95.0,0.5567987552991278
96.0,0.5567653665872488
97.0,0.5567302768697289
98.0,0.5566944821315536
99.0,0.5566708653487581
100.0,0.5566189803625876
