p_value,avg_deg,max_deg,min_deg,perc_below_avg,perc_above_avg,count_nodes_min_deg,count_nodes_max_deg,hub_dominance
0.0,16.361212158203124,27686.0,2.0,82.8814697265625,17.1185302734375,2925.6,1.0,42.338671625528406
0.1,15.281102294921874,26058.0,2.0,85.40130615234375,14.59869384765625,1134.7,1.02,39.74837871577801
0.3,14.32233154296875,25051.0,1.0,89.1383056640625,10.8616943359375,626.08,1.1,36.28697944790394
0.5,12.76190673828125,23043.0,1.0,88.4765625,11.5234375,18.92,1.1,29.91487326931812
0.7,11.142052001953125,18784.0,1.0,79.116943359375,20.883056640625,14.04,1.0,21.980091856156836
0.9,9.237845458984374,12477.0,1.0,64.583740234375,35.416259765625,13.96,1.0,10.857085212899253
1.0,7.932642822265625,12.0,4.0,44.03924560546875,55.96075439453125,669.14,1614.04,1.5142141269099465
