k_value,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8,round_9,round_10,round_11,round_12,round_13,round_14,round_15,round_16,round_17,round_18,round_19,round_20,round_21,round_22,round_23,round_24,round_25,round_26,round_27,round_28,round_29,round_30,round_31,round_32,round_33,round_34,round_35,round_36,round_37,round_38,round_39,round_40,round_41,round_42,round_43,round_44,round_45,round_46,round_47,round_48,round_49,round_50,round_51,round_52,round_53,round_54,round_55,round_56,round_57,round_58,round_59,round_60,round_61,round_62,round_63,round_64,round_65,round_66,round_67,round_68,round_69,round_70,round_71,round_72,round_73,round_74,round_75,round_76,round_77,round_78,round_79,round_80,round_81,round_82,round_83,round_84,round_85,round_86,round_87,round_88,round_89,round_90,round_91,round_92,round_93,round_94,round_95,round_96,round_97,round_98,round_99,round_100
2.0,0.0,0.4576826526454606,0.5563234115400835,0.5749475958915875,0.585710586837723,0.5863387688598259,0.5854396028304769,0.5844825966800963,0.5826877690795501,0.5804726766259278,0.5792578555182133,0.5791248224246501,0.5774780874824719,0.5759627241012292,0.5744979622194931,0.5731419466075661,0.5719261939008112,0.570815390366541,0.5697620019498025,0.5687705861227189,0.5678453992613077,0.566996432843124,0.566181360653035,0.565574870002751,0.5649026043988316,0.5642240332896822,0.5636356573376549,0.5630473471137557,0.5625359116658474,0.5620803393244125,0.5615822353148276,0.5611133402000957,0.5607337761842457,0.5603888846802153,0.5599965693823709,0.5596601020055774,0.5592994643651669,0.5589742613575629,0.5586925632575221,0.5584028626310011,0.5581375698913028,0.5578902569442722,0.5576422409367454,0.5573962070450544,0.5571409943643508,0.556914013383142,0.5567564594505925,0.5565644057300937,0.5563805531198288,0.5562207870427308,0.5560410960559213,0.555886641761298,0.5557554818819666,0.555582556134942,0.5554464405444662,0.5553190767071434,0.5551690604899613,0.5550787835366685,0.5549138700253785,0.5547662787277464,0.554650354777894,0.5545515076070564,0.5544437277916666,0.5543514071684158,0.5542484381079761,0.5541282698452255,0.5540181987339349,0.553924815925919,0.5538538504626361,0.553753377674989,0.5536823359343692,0.5535794888234461,0.5535024347875173,0.5534383830147339,0.5533589420477038,0.5532779746009878,0.5531999122394706,0.5531213196726692,0.5530779722446039,0.5530017264028095,0.5529451863794274,0.5528913830463512,0.5528234258243487,0.5527612876749664,0.5527192665267243,0.552656280299183,0.5525911721874962,0.5525443543555307,0.5524888984195853,0.5524305269584505,0.5523854415147185,0.5523397587786626,0.5522973066639785,0.5522313582373418,0.5521946695863602,0.5521549541609923,0.5521258694699976,0.5520732281271169,0.5520354546130951,0.5519924340636763
2.5,0.0,0.0,0.0,0.0016741777810214819,0.0016741801776330872,0.001674180211474728,0.0016741802076677605,0.0016741802072111622,0.0016741802072074937,0.0016741802072107778,0.0016741802072261019,0.0016741802072065,0.0016741802072387931,0.0016741802072430367,0.0016741802072064227,0.0016741802072511825,0.0016741802072089815,0.0016741802072118039,0.0016741802072474936,0.001674180207206779,0.001674180207206893,0.0016741802072324401,0.0016741802072325845,0.0016741802072317501,0.0016741802072155307,0.0016741802072159522,0.0016741802072073114,0.001674180207226772,0.0016741802072063636,0.0016741802072065214,0.0016741802072068185,0.0016741802072317024,0.001674180207206607,0.00167418020721451,0.0016741802072095457,0.0016741802072303591,0.0016741802072174205,0.0016741802072068658,0.0016741802072135082,0.0016741802072414566,0.0016741802072206718,0.0016741802072390483,0.0016741802072090797,0.0016741802072069289,0.0016741802072108986,0.001674180207251404,0.0016741802072170631,0.0016741802072530148,0.0016741802072192896,0.0016741802072197066,0.0016741802072240191,0.0016741802072065429,0.0016741802072187922,0.0016741802072159405,0.0016741802072369283,0.0016741802072064741,0.0016741802072218282,0.0016741802072066062,0.0016741802072451205,0.0016741802072172286,0.0016741802072106,0.0016741802072146744,0.0016741802072084613,0.0016741802072063982,0.0016741802072162365,0.0016741802072131199,0.0016741802072076583,0.0016741802072068413,0.0016741802072137036,0.0016741802072372841,0.0016741802072063505,0.0016741802072102712,0.0016741802072065993,0.001674180207212006,0.0016741802072070266,0.0016741802072077843,0.0016741802072133443,0.0016741802072065882,0.0016741802072137066,0.001674180207216166,0.001674180207216892,0.0016741802072263324,0.001674180207218205,0.0016741802072104803,0.001674180207206399,0.0016741802072240807,0.0016741802072071051,0.0016741802072285429,0.001674180207209821,0.0016741802072223818,0.0016741802072357084,0.0016741802072069484,0.0016741802072084767,0.0016741802072256162,0.0016741802072380491,0.0016741802072507694,0.0016741802072299788,0.001674180207206732,0.001674180207206685,0.001674180207244017
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
