p_value,n=512,n=1024,n=2048,n=4096,n=8192,n=16384,n=32768
0.0,4.612915851405219e-6,3.3197514416222206e-6,2.739716652976898e-6,1.2475370868947344e-6,1.4741956406388867e-6,3.3902380042227785e-6,1.0039538477885079e-6
0.1,0.010672941978482463,0.011837120135275351,0.011120839698575557,0.010987176387951783,0.010931147985591331,0.010972264698891145,0.01098811193632807
0.2,0.008152760826079212,0.006026469419734064,0.006003696947990227,0.005811302501278206,0.005726466509401026,0.005729989462297494,0.005725740222796732
0.3,0.00646234235404868,0.004842315350825946,0.0042131160135667235,0.0037722077004641017,0.0037433873057451626,0.0038022179568574393,0.0037509609523234443
0.4,0.005970795094400133,0.004216807299386342,0.003348573609820257,0.0030249791593610687,0.002820825167345521,0.0027055983348182057,0.0026931729747345172
0.5,0.00569763670419837,0.0042080681396854955,0.0031180666141594204,0.0027231987322821126,0.0024188056931761666,0.0022064020712816716,0.002206736026978568
0.6,0.0055936103752586095,0.004320527028775159,0.0031980365576100276,0.0027315731713191804,0.0022297686121725475,0.0020079439365008164,0.0019645454162325656
0.7,0.006075672796269978,0.004112753202849544,0.002920187929823696,0.002122067125168123,0.0019584563780058336,0.0016652053036448093,0.001567279598872949
0.8,0.005498216619505856,0.0031892116711334834,0.0025464998579495107,0.0020815070480146945,0.0016752201459562415,0.0012368461468325466,0.0011217371012327282
0.9,0.004851947714700317,0.002923149063300101,0.0020127060483402463,0.0014276549497245377,0.000962793464598175,0.0007187993996446218,0.0006378012535748928
1.0,0.004053526300745116,0.0023733378983533614,0.0015351083968250029,0.0010863092315949263,0.0006161872442315613,0.00034017896528922784,0.00026483748127198117
