p_value,n=512,n=1024,n=2048,n=4096,n=8192,n=16384,n=32768
0.0,6.0,6.78,7.08,7.99,8.15,9.0,9.34
0.1,6.81,7.28,8.02,8.86,9.28,10.0,10.67
0.2,7.12,7.88,8.44,9.1,9.91,10.54,11.18
0.3,7.51,8.26,9.11,9.84,10.47,11.23,11.97
0.4,8.16,9.0,9.89,10.53,11.37,12.18,12.89
0.5,9.05,9.95,10.91,11.88,12.59,13.54,14.48
0.6,10.42,11.38,12.58,13.6,14.47,15.72,16.74
0.7,12.98,14.2,15.53,16.73,18.06,19.43,20.64
0.8,17.97,19.29,20.83,23.13,25.16,26.89,28.72
0.9,32.63,35.53,39.91,42.39,45.34,49.17,51.91
