p_value,n=512,n=1024,n=2048,n=4096,n=8192,n=16384,n=32768
0.0,4.73,5.0,5.25,5.98,6.02,6.6,7.0
0.1,6.59,7.13,7.94,8.3,9.07,9.82,10.18
0.2,6.95,7.6,8.29,8.99,9.61,10.13,10.92
0.3,7.36,8.07,8.72,9.5,10.15,10.96,11.48
0.4,7.92,8.61,9.41,10.21,10.95,11.71,12.39
0.5,8.51,9.35,10.25,11.07,11.88,12.59,13.45
0.6,9.55,10.54,11.38,12.31,13.26,14.21,15.27
0.7,11.09,12.09,13.31,14.5,15.52,16.56,17.54
0.8,14.1,15.56,17.38,18.21,19.93,21.01,22.59
0.9,22.44,25.9,27.6,29.82,31.91,34.62,37.19
