p_value,n=512,n=1024,n=2048,n=4096,n=8192,n=16384,n=32768
0.0,0.20453442980938086,0.20065334076735983,0.19872214785984849,0.1975557249254389,0.19713284079960292,0.19678013313046655,0.19654046632200078
0.1,0.183055781270181,0.17984751446860373,0.17799442721632858,0.17698666500370686,0.17634569059788988,0.17600307207337262,0.17576360426543652
0.2,0.18938026507466496,0.18603419007451033,0.18411968350631736,0.18309429057952567,0.18241567324189908,0.18189873497113004,0.18174634524516312
0.3,0.1963536097414994,0.19285769533248132,0.19085871983428482,0.18969642299928616,0.1889075103618514,0.1883805690421832,0.18756498362877772
0.4,0.20293231220855507,0.19931058799266918,0.1973177318610296,0.19574702403961453,0.19407645214673572,0.19247931699728732,0.18937028022128774
0.5,0.20753651954523808,0.2035452151796423,0.2003936886006361,0.19811581820513816,0.1939967590225919,0.18822567152769168,0.17360220084159755
0.6,0.20810000423697925,0.20362981346093698,0.19696286058932,0.19100175286698814,0.17723963540725834,0.15601672854944496,0.12337441984710532
0.7,0.20291675689687835,0.1944268246773216,0.1846321707461161,0.16807578338519846,0.13711826920403944,0.09773817075202017,0.04732929792167369
0.8,0.1926444694471125,0.1804511779532423,0.16037260006724754,0.13160188912622062,0.0885457301555686,0.03790567204677858,0.00760729585244941
0.9,0.179462789983323,0.15982100201276844,0.13110200651081777,0.0902725679350482,0.0439686028409135,0.009692503750931468,0.00046969639586341813
1.0,0.16536989073569278,0.1380597553553166,0.10339858066142023,0.05672358311050882,0.018301244979059595,0.0019508033878016281,3.2888277205411275e-5
