p_value,n=512,n=1024,n=2048,n=4096,n=8192,n=16384,n=32768
0.0,0.3458520150495166,0.3424690388171166,0.3398847916463678,0.3391206985776073,0.3382495264606362,0.3378262131240579,0.33757974641926664
0.1,0.19255515169943166,0.18911842023814965,0.18740893642351097,0.18627196519916267,0.18563144200466714,0.18527479300548655,0.18505885280657797
0.2,0.20088436692088607,0.1975073358053198,0.19558535367137714,0.19448556877893342,0.19382969382498927,0.1934691387014655,0.19324056921557248
0.3,0.21126679476781457,0.20769845157617506,0.20566300984145044,0.20456312935132037,0.20392774793741558,0.20353559442845065,0.20332217546360415
0.4,0.2234893262216611,0.21982697663174672,0.21773103847042066,0.2166139178651403,0.21594196098958626,0.2155770577415565,0.2153750158719948
0.5,0.23775931167719253,0.23405716004449825,0.231990371521012,0.23083025974374127,0.2301578794011515,0.2297728686053934,0.22954975831758395
0.6,0.25452963341808355,0.2507634868226373,0.2485991640204348,0.24745044161531657,0.24675930045361597,0.24637875235875956,0.24612588757088144
0.7,0.27382662161005,0.2699807959240037,0.2678320324688414,0.26666897522195265,0.2659731570650491,0.26556138481349606,0.26533256617467255
0.8,0.2960272919932425,0.2920912208159943,0.2899190991764713,0.28868914655677513,0.2879954310668141,0.2875815662411689,0.28735395589081447
0.9,0.32055795971867496,0.316592254075863,0.31444589805787676,0.3132254764733316,0.312536559699662,0.3121352433054472,0.3118972534409928
1.0,0.3460179492079453,0.34227489536258004,0.34013193557176113,0.33893001108116017,0.3382511835104961,0.33785400230729856,0.3376306686882493
