p_value,n=512,n=1024,n=2048,n=4096,n=8192,n=16384,n=32768
0.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
0.1,16.0,20.0,21.0,21.0,22.0,23.0,24.0
0.2,53.0,22.0,19.0,17.0,19.0,19.0,20.0
0.3,23.0,13.0,21.0,15.0,16.0,17.0,18.0
0.4,11.0,14.0,33.0,14.0,15.0,16.0,17.0
0.5,31.0,-1.0,65.0,15.0,16.0,18.0,18.0
0.6,37.0,83.0,25.0,38.0,16.0,18.0,18.0
0.7,-1.0,-1.0,29.0,16.0,31.0,23.0,19.0
0.8,-1.0,-1.0,-1.0,-1.0,-1.0,21.0,19.0
0.9,-1.0,-1.0,-1.0,-1.0,-1.0,47.0,39.0
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
