p_value,n=512,n=1024,n=2048,n=4096,n=8192,n=16384,n=32768
0.0,9.84503441115217e-5,0.00034355783322189527,0.00024709593007096075,5.2965055088264136e-5,8.602362005335114e-5,6.688002777279537e-5,7.154267008808875e-5
0.1,0.004007699601549218,0.002893387545274997,0.0016953926892019357,0.0011813009964674534,0.0009236514516110239,0.000609287250844265,0.0005149896143704683
0.2,0.004628606758426104,0.0026108688610306293,0.0016954342955001719,0.0010882666752558368,0.0007000431479949763,0.0005157292160211262,0.0003127386990192651
0.3,0.004179782309652946,0.002661154909687405,0.0017212599602965564,0.001103015026007962,0.0007880950369646315,0.0004810410215967283,0.00034766668735809747
0.4,0.00418886786003862,0.0029144092749639437,0.001640274699120997,0.0010530405213656198,0.000683783308323679,0.00045663667902094354,0.0003410305183514556
0.5,0.0042603978759301955,0.002814840294002702,0.00171773116964005,0.0015177132824120015,0.0010297694739410121,0.0010805732475996492,0.0005357445843274522
0.6,0.0040267808203693495,0.0032441961168037563,0.0018464685466616686,0.00170620206949218,0.000952510818477549,0.0017737010393588293,0.0034467474635113465
0.7,0.004388726696901986,0.0025046160165893166,0.002309413648682044,0.002406448349227701,0.0013758172824308143,0.002699227678828165,0.0011827142056095633
0.8,0.0058996680932809405,0.0037003098574386823,0.002402043365346233,0.0020419646322851555,0.0037294453065340473,0.0009520319572064826,0.004511947733270488
0.9,0.0051465828355526455,0.0024921522855996057,0.003985719823079077,0.0026010129887591047,0.007407126133800691,0.005997595640558229,0.0
1.0,0.00519495512770404,0.00325730427755719,0.0028524425774858037,0.0071510779777227045,0.011132052161456235,0.0,0.0
