p_value,n=512,n=1024,n=2048,n=4096,n=8192,n=16384,n=32768
0.0,0.20453442980937211,0.20065334076734395,0.19872214389890736,0.1975557594177407,0.19713274467347705,0.19678016008139174,0.19654046632205316
0.1,0.18305699021060703,0.17985255009707948,0.17800161378440335,0.17697651431529782,0.17634259732350968,0.17598151805288867,0.1757671302324675
0.2,0.18934719375389986,0.1860239960516589,0.18412422184568425,0.18309215310602311,0.1824192559032996,0.18190583645822167,0.18175488546114882
0.3,0.19636656931613808,0.19285667076077892,0.19085767945864748,0.1896964229993551,0.18891143800398066,0.18836943626999694,0.1876040009287398
0.4,0.20292413233526024,0.1993127443888103,0.19726188723761598,0.1957420192842781,0.19407638312973355,0.19249207082101194,0.1893685823398855
0.5,0.20752206063837622,0.20354521517964838,0.20059312570560953,0.19811582135979564,0.19390656509358853,0.18829622061683463,0.1737506095163057
0.6,0.2082373013564019,0.20313675264242104,0.19699779139647702,0.1908231437328698,0.17727423395685118,0.15598795689721062,0.12299871903208785
0.7,0.20291675689688884,0.19442682467732536,0.1845298471023074,0.16791204784622643,0.13715735356426217,0.09760511633570568,0.047257023629379384
0.8,0.19263388171453588,0.18054929053818186,0.16067129517372522,0.1313024830254053,0.08853881315017252,0.038013592301148875,0.007607295852449457
0.9,0.17970984454850533,0.1597231701604511,0.1310801913298891,0.0901430682954147,0.043830564148796894,0.009740014212928888,0.00046969639586325876
1.0,0.16539166818111603,0.13829503696389156,0.10372208712136277,0.05651404687755709,0.018299354359200184,0.0019347043551548517,3.28882772055085e-5
